year,region,p1,p2,p3,p4,p5,p6,p7plus
2018,충청북도,204109,183501,123042,94970,27286,6166,1904
2018,충청남도,270497,247706,160052,125909,35876,8267,2817
2018,전라북도,232587,220032,136476,101909,31927,7511,2538
2018,전라남도,235062,240651,132049,90460,29353,7239,2592
2018,경상북도,353702,340340,207353,144848,37208,8503,2580
2018,경상남도,379719,372556,271707,215033,53321,10952,3106
2018,제주특별자치도,73250,68170,48239,38944,14799,4035,1561
2019,서울특별시,1299787,1005065,801819,614026,138596,29336,7760
2019,부산광역시,423227,400961,286644,208618,45849,9348,2383
2019,대구광역시,284416,267961,207953,163754,35926,6983,1627
2019,인천광역시,297865,305688,253332,203577,47920,9663,2531
2019,광주광역시,182364,156984,117401,98248,26302,4676,1184
2019,대전광역시,205165,158832,119508,96271,23465,4623,1179
2019,울산광역시,116015,119926,100984,80479,16182,2805,703
2019,세종특별자치시,39078,31236,26828,24944,6186,1096,296
2019,경기도,1290893,1284977,1106151,943962,223584,45755,12338
2019,강원도,208857,200035,117416,79476,21560,5043,1555
2019,충청북도,215196,191655,123239,91764,25674,5503,1682
2019,충청남도,280773,256360,160674,122401,33995,7444,2455
2019,전라북도,238746,226681,135931,98322,29636,6775,2216
2019,전라남도,238147,245725,132242,88381,27679,6605,2247
2019,경상북도,360213,352260,206493,139394,34712,7619,2243
2019,경상남도,391421,387575,272119,207863,49606,9880,2749
2019,제주특별자치도,75353,71409,49002,38634,14176,3712,1430
2020,서울특별시,1390701,1033901,792690,602791,130122,25770,6315
2020,부산광역시,455207,411455,282233,203769,42608,7874,1891
2020,대구광역시,304543,276237,205048,159654,33131,5976,1227
2020,인천광역시,324841,316387,251928,198528,44949,8440,2127
2020,광주광역시,193948,162403,115978,97323,24613,4011,941
2020,대전광역시,228842,164795,116989,93698,21883,4034,967
2020,울산광역시,122848,123591,99739,79489,15447,2398,575
2020,세종특별자치시,43577,33204,28307,26415,6328,1029,246
2020,경기도,1406010,1350139,1119823,951370,218173,42094,10822
2020,강원도,231371,206755,117504,79073,20669,4409,1258
2020,충청북도,236208,198840,122347,91329,24143,4694,1361
2020,충청남도,304973,264909,159754,121589,32419,6618,1960
2020,전라북도,255269,233334,134414,96907,27962,5920,1769
2020,전라남도,256633,251506,131372,87883,26561,5727,1836
2020,경상북도,388791,363061,202539,137092,32174,6388,1774
2020,경상남도,417737,399700,270061,205658,46516,8410,2073
2020,제주특별자치도,81855,74308,49903,38747,13719,3380,1156
