老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20200817,5,13,22,27,23,37,49,14,7,197
20200818,5,18,17,27,27,62,66,22,2,246
20200819,14,17,28,32,39,58,73,29,7,297
20200820,12,35,31,35,32,55,47,30,11,288
20200821,6,19,42,40,42,61,74,34,6,324
20200822,11,19,55,40,48,66,56,34,3,332
20200823,16,35,34,40,62,82,86,27,14,396
20200824,9,13,30,35,39,48,52,24,16,266
20200825,15,18,42,30,33,53,50,30,9,280
20200826,13,13,37,47,42,60,57,34,17,320
20200827,9,27,51,49,71,109,65,41,19,441
20200828,16,18,32,49,52,71,65,48,20,371
20200829,16,18,31,36,47,54,67,36,18,323
20200830,10,12,44,39,38,55,72,21,8,299
20200831,10,11,43,15,28,49,55,26,11,248
20200901,14,17,25,24,24,46,45,30,10,235
20200902,10,12,43,25,24,48,51,40,14,267
20200903,7,7,22,21,29,36,34,22,17,195
20200904,9,7,17,24,27,39,38,22,15,198
20200905,3,6,14,19,19,38,42,18,9,168
20200906,8,3,19,15,25,35,39,16,7,167
20200907,3,5,13,17,16,22,21,20,2,119
20200908,5,8,12,17,17,33,27,14,3,136
20200909,6,8,8,16,15,29,46,22,6,156
20200910,12,4,12,13,17,29,45,12,11,155
20200911,3,3,22,19,22,34,40,16,17,176
20200912,4,5,16,12,18,34,29,14,4,136
20200913,4,3,24,14,11,19,30,12,4,121
20200914,2,3,17,11,11,24,26,12,3,109
20200915,6,8,8,10,18,18,25,11,2,106
20200916,1,3,14,9,17,22,25,18,4,113
20200917,5,8,25,11,20,36,27,17,4,153
20200918,3,4,16,17,21,24,24,12,5,126
20200919,1,5,6,7,9,35,26,15,6,110
20200920,1,4,7,10,14,12,17,12,5,82
20200921,1,4,18,10,6,13,9,9,0,70
20200922,1,2,6,10,10,16,10,5,1,61
20200923,4,4,9,10,14,23,19,22,5,110
20200924,6,4,15,9,17,29,27,9,9,125
20200925,5,3,12,14,15,19,22,14,10,114
20200926,1,6,7,7,5,10,16,9,0,61
20200927,0,4,14,16,12,19,20,7,3,95
20200928,4,4,5,3,5,10,12,3,4,50
20200929,2,2,8,7,7,5,4,0,3,38
20200930,5,5,8,20,20,26,18,9,2,113
20201001,6,4,7,9,14,13,13,7,4,77
20201002,3,6,6,10,6,11,13,4,4,63
20201003,1,1,6,13,11,11,16,13,3,75
20201004,0,4,4,9,13,8,12,8,6,64
