"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 공장창고등(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"128","서울특별시 금천구 가산동","집합","371-106","가산디지털1로","준공업","공장","25m미만","85.86"," ","76,326","20","법인","법인","202411","27","","2018","-","중개거래","서울 금천구"
"129","서울특별시 금천구 가산동","집합","371-57","가산디지털1로","준공업","공장","25m미만","34.40"," ","24,000","3","법인","개인","202411","27","","2018","-","직거래","-"
"130","서울특별시 금천구 가산동","집합","219-6","벚꽃로24길","준공업","공장","12m미만","124.74"," ","78,650","7","개인","법인","202411","26","","2018","-","중개거래","서울 금천구"
"131","서울특별시 성동구 성수동1가","집합","13-17","성수일로","준공업","공장","25m이상","39.15"," ","53,500","7","법인","개인","202411","26","","2022","-","중개거래","서울 성동구"
"132","서울특별시 성동구 성수동1가","집합","13-17","성수일로","준공업","공장","25m이상","39.57"," ","53,500","7","법인","개인","202411","26","","2022","-","중개거래","서울 성동구"
"133","서울특별시 금천구 가산동","집합","219-6","벚꽃로24길","준공업","공장","12m미만","124.74"," ","78,650","7","개인","법인","202411","26","","2018","-","중개거래","서울 금천구"
"134","서울특별시 금천구 가산동","집합","60-25","벚꽃로","준공업","공장","25m미만","379.79"," ","150,500","14","법인","법인","202411","26","","2009","-","중개거래","서울 금천구"
"135","서울특별시 성동구 성수동1가","집합","13-207","성수일로","준공업","공장","25m미만","40.50"," ","52,000","15","개인","법인","202411","26","","2019","-","중개거래","서울 성동구, 인천 남동구"
"136","서울특별시 성동구 성수동2가","집합","322-1","연무장길","준공업","공장","12m미만","53.28"," ","28,000","","법인","개인","202411","26","","2020","-","중개거래","서울 성동구"
"137","서울특별시 금천구 가산동","집합","429-1","가산디지털2로","준공업","공장","25m미만","133.53"," ","62,500","4","법인","개인","202411","25","","2006","-","중개거래","서울 금천구"
"138","서울특별시 구로구 구로동","집합","222-12","디지털로30길","준공업","공장","12m미만","132.72"," ","47,895","12","법인","법인","202411","25","","2005","-","중개거래","서울 구로구"
"139","서울특별시 영등포구 당산동3가","집합","550","양산로","준공업","공장","25m미만","84.84"," ","87,000","","법인","법인","202411","25","","2021","-","중개거래","서울 영등포구"
"140","서울특별시 영등포구 당산동3가","집합","550","양산로","준공업","공장","25m미만","99.93"," ","103,000","","법인","법인","202411","25","","2021","-","중개거래","서울 영등포구"
"141","서울특별시 구로구 구로동","집합","851","디지털로","준공업","공장","25m이상","131.88"," ","52,000","7","법인","개인","202411","25","","2010","-","중개거래","서울 구로구"
"142","서울특별시 성동구 성수동2가","일반","2**","연무장길","준공업","공장","12m미만","390.25","354.40","2,500,000","","법인","법인","202411","22","","1968","20250123","중개거래","서울 성동구"
"143","서울특별시 송파구 문정동","집합","645-2","법원로9길","일반상업","공장","25m미만","80.64"," ","74,000","","법인","법인","202411","22","","2017","-","중개거래","서울 송파구"
"144","서울특별시 금천구 가산동","집합","345-29","가산디지털2로","준공업","공장","25m미만","91.73"," ","26,000","","법인","개인","202411","22","","2017","-","중개거래","서울 금천구"
