raceId,driverId,lap,position,time,time_seconds
1051,815,57,4,1:26.467,86.467
1051,817,1,16,1:44.471,104.471
1051,817,2,16,1:33.120,93.12
1051,817,3,16,1:31.801,91.801
1051,817,4,16,1:31.518,91.518
1051,817,5,16,1:31.405,91.405
1051,817,6,16,1:32.037,92.037
1051,817,7,15,1:30.997,90.997
1051,817,8,14,1:30.846,90.846
1051,817,9,13,1:31.909,91.90899999999999
1051,817,10,12,1:30.987,90.987
1051,817,11,12,1:29.960,89.96000000000001
1051,817,12,12,1:30.003,90.003
1051,817,13,11,1:30.081,90.081
1051,817,14,11,1:30.092,90.092
1051,817,15,11,1:30.026,90.026
1051,817,16,11,1:29.874,89.874
1051,817,17,11,1:29.778,89.77799999999999
1051,817,18,11,1:30.381,90.381
1051,817,19,10,1:30.335,90.33500000000001
1051,817,20,10,1:29.974,89.974
1051,817,21,10,1:30.057,90.057
1051,817,22,10,1:30.069,90.069
1051,817,23,9,1:30.116,90.116
1051,817,24,8,1:32.173,92.173
1051,817,25,8,1:31.474,91.474
1051,817,26,13,1:50.268,110.268
1051,817,27,15,1:35.215,95.215
1051,817,28,16,1:30.950,90.95
1051,817,29,16,1:29.385,89.385
1051,817,30,15,1:31.114,91.114
1051,817,31,15,1:29.595,89.595
1051,817,32,14,1:30.918,90.918
1051,817,33,14,1:29.356,89.356
1051,817,34,12,1:28.792,88.792
1051,817,35,12,1:28.233,88.233
1051,817,36,12,1:28.709,88.709
1051,817,37,12,1:28.862,88.862
1051,817,38,12,1:28.341,88.34100000000001
1051,817,39,12,1:29.246,89.246
1051,817,40,12,1:29.149,89.149
1051,817,41,12,1:29.081,89.081
1051,817,42,13,1:30.011,90.011
1051,817,43,13,1:30.496,90.496
1051,817,44,13,1:28.784,88.78399999999999
1051,817,45,13,1:28.809,88.809
1051,817,46,13,1:27.951,87.951
1051,817,47,13,1:28.541,88.541
1051,817,48,13,1:27.583,87.583
1051,817,49,12,1:27.676,87.676
1051,817,50,12,1:27.198,87.19800000000001
1051,817,51,12,1:27.427,87.42699999999999
1051,817,52,12,1:28.986,88.986
1051,817,53,12,1:28.159,88.15899999999999
1051,817,54,12,1:45.737,105.737
1051,817,55,12,1:44.948,104.94800000000001
1051,817,56,12,1:29.067,89.06700000000001
1051,822,1,11,1:41.898,101.898
1051,822,2,11,1:32.520,92.52000000000001
1051,822,3,11,1:30.982,90.982
1051,822,4,11,1:31.274,91.274
1051,822,5,11,1:31.471,91.471
1051,822,6,11,1:31.507,91.507
1051,822,7,11,1:31.740,91.74
1051,822,8,11,1:32.173,92.173
1051,822,9,10,1:30.315,90.315
1051,822,10,9,1:28.095,88.095
1051,822,11,9,1:29.523,89.523
1051,822,12,9,1:30.527,90.527
1051,822,13,8,1:31.106,91.106
1051,822,14,8,1:29.972,89.97200000000001
1051,822,15,7,1:29.190,89.19
1051,822,16,7,1:29.434,89.434
1051,822,17,6,1:28.361,88.361
1051,822,18,6,1:29.468,89.468
1051,822,19,5,1:29.128,89.128
1051,822,20,5,1:29.350,89.35
1051,822,21,5,1:30.169,90.169
1051,822,22,5,1:29.239,89.239
1051,822,23,3,1:28.422,88.422
1051,822,24,3,1:28.215,88.215
1051,822,25,3,1:28.089,88.089
1051,822,26,3,1:27.907,87.907
1051,822,27,3,1:27.851,87.851
1051,822,28,3,1:27.909,87.90899999999999
1051,822,29,3,1:27.991,87.991
1051,822,30,3,1:27.886,87.886
1051,822,31,3,1:27.945,87.945
1051,822,32,3,1:27.990,87.99
1051,822,33,13,2:31.932,151.932
1051,822,34,14,1:35.500,95.5
1051,822,35,13,1:29.218,89.218
1051,822,36,13,1:28.390,88.39
1051,822,37,13,1:27.623,87.623
1051,822,38,13,1:27.351,87.351
1051,822,39,13,1:27.246,87.246
1051,822,40,13,1:28.108,88.108
1051,822,41,13,1:27.913,87.913
1051,822,42,12,1:27.783,87.783
1051,822,43,12,1:27.775,87.775
1051,822,44,12,1:28.084,88.084
1051,822,45,12,1:29.538,89.538
1051,822,46,12,1:28.898,88.898
1051,822,47,12,1:28.492,88.492
1051,822,48,12,1:28.740,88.74
1051,830,1,4,1:37.292,97.292
1051,830,2,4,1:30.572,90.572
1051,830,3,3,1:30.080,90.08
1051,830,4,3,1:29.836,89.836
1051,830,5,2,1:28.166,88.166
1051,830,6,2,1:28.397,88.39699999999999
1051,830,7,2,1:29.069,89.069
1051,830,8,2,1:28.339,88.339
1051,830,9,2,1:28.458,88.458
1051,830,10,2,1:28.382,88.382
1051,830,11,2,1:28.315,88.315
1051,830,12,2,1:28.394,88.394
1051,830,13,2,1:28.332,88.332
1051,830,14,2,1:28.336,88.336
1051,830,15,2,1:28.281,88.281
1051,830,16,2,1:28.416,88.416
1051,830,17,2,1:48.566,108.566
1051,830,18,2,1:32.604,92.604
1051,830,19,2,1:27.989,87.989
1051,830,20,2,1:27.750,87.75
1051,830,21,2,1:27.531,87.531
1051,830,22,2,1:27.392,87.392
1051,830,23,2,1:27.152,87.152
1051,830,24,2,1:27.079,87.07900000000001
1051,830,25,2,1:27.237,87.237
1051,830,26,2,1:27.098,87.098
1051,830,27,2,1:27.089,87.089
1051,830,28,2,1:27.016,87.01599999999999
1051,830,29,2,1:27.225,87.225
1051,830,30,2,1:26.587,86.587
