NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
887,서울특별시 종로구 견지동,집합,110,삼봉로,일반상업,제1종근린생활,25m이상,53.75, ,"177,000",1,법인,개인,202412,2,,2008,-,중개거래,서울 종로구
888,서울특별시 종로구 수송동,집합,85,율곡로2길,일반상업,숙박,25m이상,36.86, ,"33,000",16,개인,개인,202412,2,,2005,-,중개거래,서울 종로구
889,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,500",10,개인,법인,202412,2,,2005,-,직거래,-
890,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,500",10,개인,법인,202412,2,,2005,-,직거래,-
891,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,500",10,개인,법인,202412,2,,2005,-,직거래,-
892,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,500",10,개인,법인,202412,2,,2005,-,직거래,-
893,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.36, ,"1,244",11,법인,법인,202412,2,,2005,-,직거래,-
894,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,467",10,법인,법인,202412,2,,2005,-,직거래,-
895,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,467",10,법인,법인,202412,2,,2005,-,직거래,-
896,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,5.96, ,"2,232",10,법인,법인,202412,2,,2005,-,직거래,-
897,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,750",11,법인,법인,202412,2,,2005,-,직거래,-
898,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,750",11,법인,법인,202412,2,,2005,-,직거래,-
899,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,6.87, ,"3,269",11,법인,법인,202412,2,,2005,-,직거래,-
900,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,763",11,법인,법인,202412,2,,2005,-,직거래,-
901,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,689",11,법인,법인,202412,2,,2005,-,직거래,-
902,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,689",11,법인,법인,202412,2,,2005,-,직거래,-
903,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,689",11,법인,법인,202412,2,,2005,-,직거래,-
904,서울특별시 노원구 하계동,집합,256-12,노원로,준주거,제1종근린생활,25m이상,54.41, ,"27,528",5,개인,개인,202412,2,,2004,-,직거래,-
905,서울특별시 중랑구 상봉동,집합,101,망우로,근린상업,기타,25m이상,223.08, ,"68,500",7,개인,개인,202412,2,,2006,-,중개거래,서울 송파구
906,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
907,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
908,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
909,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
910,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
911,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
912,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,459",10,법인,법인,202412,2,,2005,-,직거래,-
913,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,650",10,법인,법인,202412,2,,2005,-,직거래,-
914,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,650",10,법인,법인,202412,2,,2005,-,직거래,-
915,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,"1,650",10,법인,법인,202412,2,,2005,-,직거래,-
916,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.15, ,"1,051",,개인,법인,202412,2,,2005,-,직거래,-
917,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,7.38, ,"1,893",,개인,법인,202412,2,,2005,-,직거래,-
918,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,5.32, ,"1,367",,개인,법인,202412,2,,2005,-,직거래,-
919,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
920,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
921,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
922,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
923,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
924,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,5.32, ,"1,367",,개인,법인,202412,2,,2005,-,직거래,-
925,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.84, ,981,,개인,법인,202412,2,,2005,-,직거래,-
926,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.08, ,"1,051",,개인,법인,202412,2,,2005,-,직거래,-
927,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.62, ,"1,192",,개인,법인,202412,2,,2005,-,직거래,-
928,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,5.6, ,"1,437",,개인,법인,202412,2,,2005,-,직거래,-
929,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.78, ,"1,227",,개인,법인,202412,2,,2005,-,직거래,-
930,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.07, ,"1,051",,개인,법인,202412,2,,2005,-,직거래,-
931,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
932,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,6.02, ,"1,542",,개인,법인,202412,2,,2005,-,직거래,-
933,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,4.91, ,"1,262",,개인,법인,202412,2,,2005,-,직거래,-
934,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
935,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
936,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
